country,year,tiv_millions,period
Algeria,1968,6.0,1950-1980
Algeria,1980,6.0,1950-1980
Angola,1979,3.0,1950-1980
Argentina,1962,6.0,1950-1980
Argentina,1964,4.0,1950-1980
Argentina,1968,8.0,1950-1980
Argentina,1972,11.0,1950-1980
Argentina,1976,1.0,1950-1980
Argentina,1979,8.0,1950-1980
Argentina,1980,1.0,1950-1980
Argentina,1981,31.0,1981-2000
Argentina,1982,7.0,1981-2000
Argentina,1983,5.0,1981-2000
Argentina,1987,4.0,1981-2000
Argentina,1990,6.0,1981-2000
Argentina,1993,13.0,1981-2000
Argentina,1994,5.0,1981-2000
Argentina,1995,5.0,1981-2000
Argentina,2000,2.0,1981-2000
Aruba,1996,18.0,1981-2000
Australia,1952,36.0,1950-1980
Australia,1955,125.0,1950-1980
Australia,1961,2.0,1950-1980
Australia,1962,4.0,1950-1980
Australia,1969,26.0,1950-1980
Australia,1970,17.0,1950-1980
Australia,1971,36.0,1950-1980
Australia,1972,6.0,1950-1980
Australia,1973,72.0,1950-1980
Australia,1974,92.0,1950-1980
Australia,1975,131.0,1950-1980
Australia,1976,113.0,1950-1980
Australia,1977,62.0,1950-1980
Australia,1978,21.0,1950-1980
Australia,1979,22.0,1950-1980
Australia,1980,15.0,1950-1980
Australia,1981,17.0,1981-2000
Australia,1982,26.0,1981-2000
Australia,1983,31.0,1981-2000
Australia,1984,62.0,1981-2000
Australia,1985,10.0,1981-2000
Australia,1986,57.0,1981-2000
Australia,1987,89.0,1981-2000
Australia,1988,12.0,1981-2000
Australia,1989,18.0,1981-2000
Australia,1990,156.0,1981-2000
Australia,1991,84.0,1981-2000
Australia,1993,30.0,1981-2000
Australia,1994,24.0,1981-2000
Australia,1995,36.0,1981-2000
Australia,1996,10.0,1981-2000
Australia,1997,14.0,1981-2000
Australia,1998,4.0,1981-2000
Austria,1966,1.0,1950-1980
Austria,1967,1.0,1950-1980
Austria,1968,1.0,1950-1980
Austria,1969,1.0,1950-1980
Austria,1970,1.0,1950-1980
Austria,1971,1.0,1950-1980
Austria,1972,1.0,1950-1980
Austria,1973,1.0,1950-1980
