Volume of exports of major arms by the top 100 largest suppliers  1950-1980;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 27 Feb 2026 10:33:24 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main recipients (share of exporters total %) 1950-1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-1980,Rank 1919-1949,Supplier,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1950-1980, Share of global arms imports,1919-1949 Total, Percentage change from 1919-1949 to 1950-1980,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,114,Soviet Union,4075,3740,6030,8694,8748,5799,6436,6760,8068,7976,6457,6293,7737,6866,8933,8521,10167,11426,11113,9792,9489,10977,13278,15525,15192,11409,9678,15242,17600,17002,18294,307317,37%,,,China (11),Poland (9.7),East Germany (GDR) (7.2),Egypt (7.2),Czechoslovakia (7.0),Syria (6.7),India (5.9),Libya (5.3),Iraq (4.7),North Korea (4.4),Viet Nam (4.2),Bulgaria (4.0),Romania (3.5),Hungary (3.4),Yugoslavia (2.7),Algeria (2.4),Cuba (2.4),Afghanistan (1.1),Indonesia (1.0),South Yemen (0.9),Ethiopia (0.8),Peru (0.6),Iran (0.6),Mongolia (0.4),Finland (0.4),North Yemen (0.4),Somalia (0.3),Angola (0.3),Mozambique (0.2),Sudan (0.2),Albania (0.2),Nigeria (0.2),Tanzania (0.1),Pakistan (0.1),Laos (0.1),Uganda (0.1),Guinea (0.1),Zambia (0.1),Morocco (0.0),Mali (0.0),Bangladesh (0.0),Madagascar (0.0),Cambodia (0.0),Congo (0.0),Yemen Arab Republic (North Yemen) (0.0),Guinea-Bissau (0.0),Ghana (0.0),Viet Cong (South Vietnam)* (0.0),Pathet Lao (Laos)* (0.0),Sri Lanka (0.0),Benin (0.0),Kuwait (0.0),Cabo Verde (0.0),Cyprus (0.0),Austria (0.0),Mauritania (0.0),Equatorial Guinea (0.0),Zimbabwe (0.0),Myanmar (0.0),Lebanon (0.0),Seychelles (0.0),Guyana (0.0),ZAPU (Zimbabwe)* (0.0),Burundi (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Soviet Union N,2704,3187,5545,8145,8491,5430,5984,6370,7797,7537,6010,5566,6250,6451,8294,8029,9512,10310,10506,9288,8900,10145,12369,14559,14682,10734,8785,14414,16940,15635,17180,285750,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Soviet Union S,1370,553,485,549,257,370,452,390,272,439,447,727,1487,414,639,492,655,1116,607,504,589,693,759,966,510,675,893,828,660,1366,1114,21279,2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Soviet Union R,,,,,,,,,,,,,,,,,,,,,,139,150,,,,,,,,,289,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,129,United States,1355,4057,6970,9821,6205,7260,8660,8315,9375,7458,6120,6306,6179,9409,12314,11487,8651,7275,8570,12070,8885,11772,10664,11960,12768,15277,15648,14363,13635,9793,10684,293306,36%,,,Germany (12),Iran (8.7),Japan (6.8),Italy (6.0),Israel (5.3),Canada (5.2),Turkiye (4.5),United Kingdom (4.4),Taiwan (4.4),South Korea (4.2),France (4.2),Netherlands (3.2),Greece (3.1),Belgium (2.4),South Vietnam (2.4),Spain (2.3),Australia (2.1),Saudi Arabia (1.7),Norway (1.5),Brazil (1.2),Denmark (1.2),Argentina (1.0),Jordan (1.0),Yugoslavia (1.0),Thailand (1.0),Pakistan (0.8),Portugal (0.6),Philippines (0.6),Sweden (0.5),Chile (0.5),Peru (0.5),Switzerland (0.5),Singapore (0.5),Indonesia (0.4),Morocco (0.4),Venezuela (0.4),Egypt (0.3),Malaysia (0.3),Kuwait (0.3),Mexico (0.2),Colombia (0.2),Ethiopia (0.2),Austria (0.2),New Zealand (0.2),India (0.2),Ecuador (0.2),South Africa (0.2),North Yemen (0.1),DR Congo (0.1),Libya (0.1),Cambodia (0.1),Uruguay (0.1),Myanmar (0.1),Nigeria (0.1),Laos (0.1),Kenya (0.1),Sudan (0.1),Guatemala (0.1),Tunisia (0.1),Dominican Republic (0.1),Bolivia (0.0),Honduras (0.0),unknown recipient(s) (0.0),El Salvador (0.0),Cuba (0.0),Gabon (0.0),Nicaragua (0.0),Lebanon (0.0),UAE (0.0),Panama (0.0),Cameroon (0.0),Niger (0.0),Haiti (0.0),Oman (0.0),Paraguay (0.0),Iraq (0.0),Brunei (0.0),Jamaica (0.0),Liberia (0.0),Uganda (0.0),Algeria (0.0),Bangladesh (0.0),United Nations** (0.0),Costa Rica (0.0),Guyana (0.0),Fiji (0.0),Finland (0.0),Ghana (0.0),Syria (0.0),Ireland (0.0),Armas (Guatemala)* (0.0),Sri Lanka (0.0),Haiti rebels* (0.0),Indonesia rebels* (0.0),Cote d'Ivoire (0.0),Tanzania (0.0),Biafra (0.0),Anti-Castro rebels (Cuba)* (0.0),Mali (0.0),Bahrain (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,United States N,274,1403,5085,8051,4949,5803,6156,5981,7047,5298,4011,4350,4548,8041,11550,10553,7683,6059,7787,10442,7263,8220,6339,8201,11124,14018,14501,13393,12796,9089,9790,239806,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,United States S,1029,2259,1766,1750,1183,1457,2286,2095,2233,2099,2108,1891,1591,1365,748,934,903,910,756,1541,1412,3448,4103,3410,1473,711,707,955,581,680,764,49149,6.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,United States R,51,396,120,20,72,,218,239,95,62,,65,41,3,16,,65,306,27,86,210,104,222,349,172,548,440,16,258,24,130,4351,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
